Gene_name	HI_score
DBP	0.326
RHEBL1	0.146
ZNF41	0.125
IFT80	0.302
IFT81	0.184
NPY6R	0.596
SARDH	0.278
CTCFL	0.108
XPA	0.332
KISS1R	0.097
MCM10	0.232
NUP93	0.985
CREBL2	0.412
IGFBPL1	0.151
ZNF221	0.074
ATG4C	0.116
ATG4A	0.189
THUMPD2	0.092
CREB5	0.772
SP6	0.678
ATG4D	0.123
PHOX2A	0.299
PHOX2B	0.554
TNRC4	0.629
LRGUK	0.128
UPK2	0.299
CFH	0.085
CFI	0.048
ANKFY1	0.069
C1orf14	0.106
CFB	0.342
OR5P3	0.109
OR5P2	0.149
CPM	0.135
CREBBP	1.0
PNN	0.612
ATP6V0E1	0.142
CFP	0.122
AAAS	0.619
C9orf104	0.085
HAMP	0.272
EDC3	0.542
SIDT1	0.187
SIDT2	0.409
SIX4	0.713
SIX5	0.141
SIX6	0.268
SAGE1	0.365
MR1	0.072
SIX2	0.887
SIX3	0.885
CNPY4	0.107
CNPY3	0.063
CNPY2	0.485
CNPY1	0.074
PLCZ1	0.079
GLT8D3	0.195
KNDC1	0.097
HMG20A	0.534
HMG20B	0.474
GLT8D2	0.1
C4orf18	0.137
C4orf19	0.11
SLC7A6OS	0.102
C4orf14	0.054
C4orf15	0.08
C4orf16	0.122
C4orf17	0.069
CDH26	0.03
C4orf12	0.101
SHOX2	0.787
ADCY7	0.387
CHFR	0.078
EFHA1	0.402
RTBDN	0.106
EFHA2	0.102
SYPL1	0.097
RCOR3	0.502
SYPL2	0.125
SAPS2	0.14
RFX4	0.382
RFX5	0.109
APP	0.971
NRXN3	0.504
NRXN2	0.197
NRXN1	0.075
RFX3	0.934
YDJC	0.116
TIGD2	0.099
NLRP13	0.043
MAP2K2	0.908
APC	0.467
TMEM179B	0.136
ETV3L	0.133
UQCRC2	0.345
XPNPEP1	0.155
XPNPEP2	0.346
UQCRC1	0.166
ZNHIT3	0.207
GGCX	0.122
PAPLN	0.466
RETSAT	0.093
ZNF57	0.072
STXBP6	0.192
KHDRBS1	0.791
KHDRBS3	0.198
KHDRBS2	0.795
PRPH	0.151
ACTL6A	0.775
TBL1Y	0.524
LHCGR	0.116
OR1Q1	0.18
FLT3	0.322
VPS37B	0.117
C21orf49	0.07
ZBED4	0.122
IL2RG	0.144
PEX11G	0.051
CTSG	0.03
C11orf2	0.39
DPYSL4	0.2
TARS2	0.152
DPYSL2	0.456
DPYSL3	0.861
OR4D9	0.034
C11orf9	0.184
FAM148B	0.104
MRGPRE	0.08
IGFBP2	0.831
IGFBP3	0.274
LRFN1	0.416
IGFBP1	0.536
BOP1	0.596
IGFBP7	0.456
IGFBP4	0.518
IGFBP5	0.608
CYP1B1	0.091
CYP2R1	0.104
CKLF	0.106
C15orf26	0.121
GJA1	0.946
C15orf24	0.33
GJA3	0.197
GJA4	0.136
GJA5	0.086
C15orf21	0.583
GJA8	0.271
GJA9	0.509
C15orf29	0.178
S1PR2	0.11
ZNF117	0.361
ZNF114	0.318
OR4D2	0.065
HSD17B10	0.375
TMC4	0.022
ITGA8	0.163
DYX1C1	0.083
KIAA1958	0.183
APIP	0.18
TMC1	0.096
TMC2	0.049
TMC3	0.048
EIF2B4	0.712
EIF2B5	0.544
EIF2B2	0.212
EIF2B3	0.509
EIF2B1	0.449
PRKAR2A	0.775
C20orf51	0.083
PRKAR2B	0.592
S1PR5	0.08
C20orf54	0.125
TXNIP	0.19
C20orf59	0.148
S1PR4	0.115
MLF1	0.193
QPRT	0.149
IFT140	0.28
MLF2	0.365
TMEM14C	0.107
TMEM14A	0.097
FANCF	0.07
RSPH3	0.059
CD97	0.11
FANCE	0.026
SOX6	0.514
C9orf128	0.01
MYT1L	0.246
C9orf127	0.053
C9orf125	0.121
C9orf122	0.145
C9orf123	0.028
KIAA1267	0.515
FANCB	0.092
CFHR2	0.04
PHACTR4	0.038
CLIC4	0.399
CLIC5	0.209
PHACTR1	0.465
OR2K2	0.111
LIN28	0.873
NLGN1	0.279
SUGT1L1	0.196
LRFN5	0.365
KIAA0020	0.588
RIT2	0.888
TMEM147	0.159
ENY2	0.903
TMOD3	0.376
TMEM144	0.077
FOXL2	0.137
ITGA6	0.505
TMEM140	0.113
SF1	0.306
BPNT1	0.163
NEURL2	0.152
KIAA1279	0.118
TMEM149	0.074
TMEM148	0.077
API5	0.624
RTKN2	0.089
FANCI	0.278
KIAA1199	0.101
HLA-DPA1	0.111
FAM32A	0.169
HAS3	0.558
KIAA1191	0.239
FER1L6	0.37
FER1L4	0.054
FER1L5	0.142
CA5B	0.077
ZNF559	0.144
RDH13	0.184
C19orf22	0.119
ZMAT3	0.102
ZMAT2	0.593
C19orf26	0.092
ZMAT4	0.433
C19orf24	0.057
MYBL1	0.764
SMOC2	0.082
NR1D2	0.185
CASP9	0.175
ITGB1BP1	0.421
ITGB1BP3	0.365
ITGB1BP2	0.131
ZNF7	0.15
ZNF2	0.145
ZNF3	0.445
TIPIN	0.801
PHLDA1	0.284
SMAD3	1.0
M6PRBP1	0.079
ZNF8	0.172
C11orf17	0.034
C11orf16	0.162
ZAP70	0.35
C11orf10	0.22
KRI1	0.257
PHLDA2	0.085
OGFR	0.109
BCAP31	0.195
CDC5L	0.798
RAC2	0.945
RAC3	0.928
RAC1	0.991
SBDS	0.64
VCL	0.829
CPLX2	0.293
CPLX3	0.185
ORC3L	0.859
LILRB4	0.063
AP2A1	0.094
CPLX4	0.187
AP2A2	0.128
TMEM121	0.26
CADPS	0.397
FIGNL1	0.39
PBX2	0.421
PBX3	0.244
PBX1	0.778
LILRB1	0.088
NSUN3	0.901
NSUN2	0.778
NSUN5	0.888
NSUN4	0.066
NSUN7	0.073
NSUN6	0.986
PRAMEF4	0.126
PRAMEF5	0.096
PRAMEF6	0.094
PRAMEF7	0.067
FAM71F1	0.073
PRAMEF1	0.089
PRAMEF2	0.067
FAM71F2	0.201
PTCH2	0.704
PTCH1	0.568
TIMM44	0.138
TUFM	0.288
FAM108B1	0.439
ZXDA	0.172
RAD9B	0.255
RAD9A	0.508
ERGIC2	0.792
C19orf21	0.117
CDR2L	0.105
ERGIC1	0.233
CEP78	0.177
CLEC14A	0.149
CLU	0.111
B3GAT3	0.218
B3GAT2	0.212
B3GAT1	0.64
UXT	0.576
CALM2	0.64
KIAA1853	0.287
SPG21	0.16
SPG20	0.136
HRH4	0.121
UPK1B	0.148
DLGAP2	0.155
DLGAP3	0.278
DLGAP1	0.713
DLGAP4	0.132
BRDT	0.127
HRH2	0.109
MBNL2	0.053
MBNL3	0.15
NPEPL1	0.112
CYP27B1	0.082
CDX2	0.907
OIP5	0.427
CLCN3	0.412
CLCN2	0.159
CLCN1	0.356
FBXL16	0.451
APPL2	0.123
CLCN6	0.381
CLCN5	0.457
CLCN4	0.283
BRD8	0.155
BRD9	0.101
PCDHGA1	0.116
FAM116B	0.15
SFRS12IP1	0.198
BRD1	0.516
BRD2	0.374
BRD3	0.437
DNAJA2	0.395
DNAJA3	0.529
PTPN18	0.064
DNAJA4	0.137
LYRM2	0.093
PTPN13	0.44
PTPN12	0.345
PTPN11	0.225
DUS2L	0.071
LYRM1	0.144
MYCBP	0.165
PTPN14	0.202
GALR3	0.533
GALR2	0.107
GALR1	0.077
UTRN	0.161
LYAR	0.627
RPL14L	0.177
PCDH20	0.268
C8orf30A	0.148
CH25H	0.063
C16orf74	0.127
MRPL24	0.181
MRPL27	0.192
CSF2RA	0.207
MRPL21	0.045
MRPL20	0.078
MRPL23	0.102
MRPL22	0.085
GAB4	0.07
LRFN4	0.24
GAB2	0.306
OR4L1	0.233
GAB1	0.557
HABP4	0.158
DMRTB1	0.383
MAP4K1	0.714
NPTX2	0.375
HABP2	0.373
NKX2-3	0.675
NDRG1	0.301
NDRG2	0.129
NDRG3	0.148
NDRG4	0.193
ZSCAN2	0.616
PRAP1	0.078
CHD1L	0.147
TRAPPC6A	0.208
CDK2	1.0
RNF130	0.755
RAPH1	0.21
VIL1	0.274
RNF133	0.23
HLA-DQB1	0.102
MSMB	0.023
APOBEC3B	0.096
DNAJB14	0.176
RNF138	0.28
RNF139	0.268
ENOSF1	0.243
BCR	0.26
CDK5	0.524
CISD2	0.152
CISD1	0.45
CLNS1A	0.096
CDK6	0.997
MRC1	0.16
TSHZ2	0.112
TSHZ3	0.806
TSHZ1	0.155
TRMT12	0.091
FOXS1	0.076
VILL	0.286
ZNF581	0.128
LPAR2	0.099
MCOLN1	0.192
ZNF582	0.13
TIPARP	0.37
ZNF587	0.094
CDK9	0.479
ZNF589	0.173
FAAH2	0.14
IGLL3	0.052
F8A1	0.166
CHST9	0.248
KRTAP24-1	0.053
LSM12	0.362
PSD	0.098
CAMKK2	0.469
CAMKK1	0.546
HAPLN3	0.117
LPAR5	0.083
MCHR1	0.083
MAGEC2	0.028
OLFML1	0.253
MTRF1L	0.134
MYO1H	0.152
MYO1G	0.123
ANAPC11	0.359
MYO1E	0.373
MYO1D	0.83
MYO1C	0.2
MYO1B	0.133
MYO1A	0.06
GRN	0.103
LCN6	0.056
PARD6G	0.293
RPL36AL	0.467
RAET1G	0.067
CENPM	0.478
CHMP7	0.101
CHMP6	0.233
CHMP5	0.609
OR52N4	0.058
PGBD5	0.224
PGBD2	0.133
CTPS2	0.393
NDC80	0.7
PGBD1	0.028
SULT6B1	0.075
LY6G6C	0.11
HOXA13	0.637
LY6G6E	0.08
HOXA11	0.321
HOXA10	0.997
KRTAP19-2	0.066
BPI	0.226
KRTAP19-1	0.031
KRTAP19-6	0.021
KRTAP19-7	0.059
KRTAP19-4	0.057
CEP57	0.425
PERLD1	0.278
GPR133	0.071
KRTAP19-8	0.043
HIST2H2AA3	0.121
HIST2H2AA4	0.105
NUBP2	0.077
GALNTL5	0.031
GALNTL4	0.167
TSSK4	0.179
ZNF326	0.105
SRF	0.948
TSSK3	0.157
ZNF323	0.08
GALNTL2	0.251
LCN9	0.052
SRI	0.166
ZNF329	0.151
SRL	0.237
SRM	0.157
SRR	0.502
LGALS9	0.116
LGALS8	0.381
LGALS3	0.361
LGALS2	0.1
LGALS1	0.599
SRY	0.146
CDK4	1.0
LGALS4	0.087
NMU	0.324
NMS	0.071
EIF2AK1	0.119
ERCC6L	0.269
EIF2AK3	0.219
EIF2AK2	0.48
TDG	0.391
EIF2AK4	0.149
HN1	0.351
NMB	0.277
EREG	0.276
MYO19	0.179
FAM136A	0.194
MYO16	0.282
TRNT1	0.074
NMI	0.764
OCRL	0.289
PLAUR	0.189
KRT28	0.192
TBX2	0.942
LOR	0.181
LRRC26	0.16
KIAA1524	0.12
LRRC24	0.163
KIAA1522	0.102
MPDU1	0.095
ZNF169	0.133
LOX	0.35
LPGAT1	0.181
PRKY	0.108
LRRC29	0.155
KIAA1529	0.305
TIMM17B	0.17
GCNT4	0.15
NXN	0.255
TIMM17A	0.435
GCNT1	0.077
GCNT3	0.094
GCNT2	0.174
C14orf135	0.056
PARD6B	0.122
TPSD1	0.213
C14orf133	0.173
LPCAT2	0.061
LPCAT1	0.078
SPNS1	0.145
KRT20	0.259
MID1IP1	0.289
PIGA	0.115
PIGB	0.043
PIGC	0.274
PIGF	0.556
PIGG	0.177
PIGH	0.202
PIGK	0.116
PIGL	0.067
PIGM	0.083
PIGN	0.198
PIGO	0.259
PIGP	0.11
PIGQ	0.101
PIGR	0.078
CNIH2	0.13
ILKAP	0.997
PIGU	0.144
PIGV	0.316
PIGW	0.283
PIGX	0.022
PIGZ	0.046
KRT25	0.158
TMEM80	0.195
DHRS13	0.172
RMND1	0.104
TAX1BP1	0.39
SNAPC3	0.155
OSGEP	0.105
ALPP	0.094
RHPN1	0.089
CHST11	0.247
OLR1	0.086
SERPINB8	0.097
SRRM1	0.435
FAM134C	0.307
SRRM2	0.085
ITGAE	0.092
PDK1	0.217
SEPX1	0.076
PDK3	0.064
PDK2	0.08
SLFN11	0.181
PDK4	0.174
LNPEP	0.071
MYO5C	0.483
ALPI	0.149
C9orf114	0.125
AMELY	0.118
SEC61A1	0.864
SEC61A2	0.882
ALPL	0.355
PTGS2	0.757
PECR	0.101
ADCK5	0.142
CKAP2	0.29
NAPRT1	0.053
SNAPC4	0.073
RGL4	0.019
OGFRL1	0.092
PUF60	0.206
ZFAND3	0.195
ZFAND1	0.101
MYO5B	0.209
PECI	0.073
SLC39A12	0.217
SLC39A13	0.258
SLC39A10	0.785
SLC39A11	0.162
SLC39A14	0.119
DNAJC17	0.142
NTRK1	0.206
NTRK2	0.34
RSBN1	0.502
EIF1AD	0.135
ARHGAP22	0.1
ARHGAP21	0.292
EVI1	0.867
ARHGAP27	0.155
ARHGAP26	0.299
ARHGAP25	0.735
EVI5	0.25
NARFL	0.053
ARHGAP29	0.075
ARHGAP28	0.098
NFKBIL2	0.1
OR9Q2	0.045
TBX4	0.813
HHAT	0.087
DDIT4	0.381
NFKBIL1	0.104
FAM76B	0.363
FAM76A	0.306
NKRF	0.401
PCGF2	0.247
TMEM84	0.101
SMAD2	1.0
MYSM1	0.241
PPIB	0.329
ATG2A	0.158
ATG2B	0.278
GPR3	0.571
BMP6	0.736
GPR1	0.328
BMP4	0.993
BMP3	0.323
GPR6	0.282
BMP1	0.763
MUS81	0.602
C1orf31	0.051
OR5R1	0.137
C1orf35	0.104
ASF1A	0.994
TERF2	0.489
TERF1	0.486
ASF1B	0.92
MAGED1	0.309
GOLGA8E	0.081
NDUFAF1	0.087
GZF1	0.124
FEM1A	0.189
GOLGA8A	0.334
GDPD1	0.233
GOLGA8B	0.132
RASSF9	0.185
RASSF8	0.253
NCBP2L	0.064
ZNF519	0.098
RASSF1	0.273
PTOV1	0.28
PTPMT1	0.174
FKTN	0.079
RASSF5	0.13
RASSF4	0.087
RASSF7	0.086
RASSF6	0.074
VMO1	0.059
RSAD2	0.156
RSAD1	0.138
CHD1	0.815
NFS1	0.102
CHD3	0.774
CHD2	0.496
CHD5	0.244
CHD4	0.767
CHD7	0.121
MRP63	0.092
CHD9	0.812
CHD8	0.637
HESX1	0.494
SGCA	0.112
CAP1	0.202
CAP2	0.285
NPC2	0.165
NPC1	0.173
SKIV2L	0.103
DDX5	0.994
C3orf59	0.499
C3orf58	0.541
TTC6	0.055
TTC1	0.165
IL4R	0.161
TTC3	0.262
RAB3GAP1	0.326
ATP10D	0.048
C3orf53	0.133
C3orf52	0.044
C3orf55	0.092
C3orf54	0.103
C3orf57	0.348
C3orf56	0.082
DYNC1LI1	0.716
DYNC1LI2	0.297
CHDH	0.136
EFHC1	0.279
CAPG	0.121
TPRKB	0.199
ETHE1	0.074
PRDM16	0.316
GALK2	0.195
PLSCR4	0.092
PRDM15	0.063
PLSCR2	0.136
ABCG5	0.088
PRDM10	0.277
PLSCR1	0.192
ABCG8	0.113
MPO	0.329
MPL	0.66
AVP	0.252
MPI	0.133
BEGAIN	0.125
HIST1H3A	0.135
CPT1A	0.102
PXDN	0.346
POLRMT	0.098
RER1	0.388
MPZ	0.646
MCPH1	0.071
GRPEL1	0.175
GRPEL2	0.026
SLC36A4	0.207
PTPN6	0.792
SLC36A2	0.093
KRIT1	0.129
LRRC27	0.059
ASPHD1	0.108
GADL1	0.118
HIST1H3H	0.202
KRTAP5-10	0.204
KRTAP5-11	0.072
QRSL1	0.083
FCER1G	0.126
AKR1B10	0.135
FCER1A	0.027
BTG2	0.506
SOSTDC1	0.174
FAHD1	0.103
SLA2	0.083
C4orf36	0.06
C4orf37	0.13
C4orf34	0.121
C4orf35	0.198
C4orf32	0.084
C4orf33	0.114
C4orf30	0.179
C4orf31	0.543
SRD5A3	0.164
SRD5A2	0.044
SRD5A1	0.052
RNF167	0.551
HELLS	0.553
METAP2	0.604
FAM49A	0.205
FAM49B	0.548
ZFP36L1	0.894
ZFP36L2	0.579
GGA1	0.202
C10orf99	0.107
GGA3	0.111
GGA2	0.067
C15orf48	0.06
C10orf90	0.039
C10orf91	0.082
C10orf92	0.099
C10orf93	0.118
C15orf40	0.061
C10orf95	0.081
C10orf96	0.059
C10orf97	0.375
SERPINA1	0.17
FHOD3	0.184
ADH7	0.114
ADH6	0.067
ADH5	0.237
ADH4	0.146
C4orf6	0.085
C4orf7	0.012
PKD1	0.73
CXorf48	0.037
GJC2	0.103
GJC3	0.123
GJC1	0.34
ZNF138	0.061
PRKACG	0.706
SPRYD3	0.153
PRKACA	0.371
C14orf118	0.145
PSMB9	0.7
PRKACB	0.94
PSMB7	0.528
ZNF131	0.234
PSMB5	0.865
PSMB4	0.876
PSMB3	0.869
PSMB2	0.983
PSMB1	0.941
SPRYD5	0.043
C20orf79	0.131
C20orf78	0.089
LMBR1L	0.254
FAM127A	0.037
HDHD3	0.066
MAF1	0.087
C20orf71	0.094
C20orf70	0.031
KLHDC9	0.107
PFTK2	0.135
C20orf74	0.177
PFTK1	0.387
ZNF516	0.161
KLK1	0.032
C20orf141	0.007
RMI1	0.66
CORO6	0.24
MBL2	0.751
CSDA	0.792
KCNK9	0.149
SFRS9	0.568
SFRS8	0.155
SFRS7	0.749
KCNK5	0.398
SFRS5	0.314
SFRS4	0.895
SFRS3	0.777
KCNK1	0.228
MLH1	0.726
KCNK3	0.179
C9orf144	0.14
C9orf146	0.093
TRIML2	0.043
C9orf141	0.096
C9orf142	0.092
TRIML1	0.168
VPS13D	0.231
ACOT12	0.11
VPS13A	0.131
SH3KBP1	0.793
VPS13C	0.185
VPS13B	0.277
BEX5	0.064
BEX4	0.215
BEX2	0.128
CRYZ	0.091
UBAP2	0.376
C18orf22	0.067
NUP160	0.847
ELTD1	0.246
CRYM	0.38
TMEM163	0.246
TMEM165	0.091
TMEM164	0.327
ME2	0.089
TMEM169	0.072
TMEM168	0.433
EVI2B	0.084
FOXN1	0.422
FOXN2	0.585
REPIN1	0.517
NICN1	0.132
EIF3K	0.435
PMVK	0.116
COX4I1	0.11
BBC3	0.757
GRIN2B	0.392
GRIN2C	0.097
GNA14	0.257
GRIN2A	0.307
GNA12	0.108
KLHDC8B	0.24
KLHDC8A	0.134
GNA11	0.455
IL3RA	0.106
SH2B3	0.688
TAP1	0.055
TAP2	0.123
MFGE8	0.26
DUSP26	0.172
C19orf18	0.128
IL6ST	0.616
SNAP91	0.588
SBF2	0.05
PCNT	0.103
NOL4	0.272
DBN1	0.196
NOL7	0.227
ACTG1	0.939
OGDH	0.504
ADD1	0.483
CDC73	0.22
C11orf35	0.058
C11orf34	0.032
C22orf9	0.136
C11orf31	0.16
C11orf30	0.523
C19orf12	0.107
SEMG1	0.036
UPP1	0.144
SEMG2	0.18
LMBRD2	0.141
LMBRD1	0.19
C19orf10	0.09
DAZL	0.318
SERPING1	0.104
DAZ2	0.137
SRFBP1	0.084
TAS2R16	0.022
TAS2R10	0.073
PHTF2	0.143
BCAT1	0.588
TAS2R13	0.013
NEUROG3	0.061
MACROD2	0.23
MACROD1	0.117
C1orf130	0.191
C1orf133	0.345
UBE2Q2	0.142
AKAP5	0.078
AKAP6	0.576
C1orf132	0.117
DBNL	0.163
AKAP1	0.969
AKAP3	0.135
ORC1L	0.891
C1orf135	0.204
PIPOX	0.891
AKAP8	0.095
AKAP9	0.122
EIF2A	0.765
ZBTB34	0.572
ZNF416	0.044
C1orf137	0.061
CCDC117	0.149
PSTK	0.197
TUBE1	0.109
PPIL5	0.085
PHPT1	0.086
SMC1A	0.965
INTS2	0.669
CCDC115	0.092
NFU1	0.506
G6PD	0.364
RRP1B	0.35
NOVA2	0.345
NOVA1	0.92
ODF1	0.411
HSP90B1	0.784
CCDC113	0.046
SMC1B	0.555
KRR1	0.956
TMEM132E	0.296
KLHL32	0.071
TMEM132A	0.165
PEG10	0.635
TMEM132B	0.15
OVGP1	0.061
CETN3	0.949
CETN2	0.206
NAIF1	0.356
CCL28	0.122
PCLO	0.184
DIO1	0.195
H3F3A	0.78
VSX2	0.847
CCL21	0.04
CCL20	0.219
CCL23	0.076
CCL22	0.088
CCL25	0.054
CCL24	0.053
CCL27	0.134
CCL26	0.165
ALPK1	0.113
ALPK3	0.133
ALPK2	0.033
TRIOBP	0.205
C8orf48	0.045
C8orf47	0.031
C8orf46	0.534
C8orf45	0.093
UCK2	0.327
C8orf42	0.307
TP53I3	0.224
C8orf40	0.237
CUX1	0.784
TMSL3	0.114
MAP3K9	0.12
FAM70A	0.372
DERL3	0.198
PIM2	0.696
FAM70B	0.177
BRF2	0.712
BRF1	0.278
FSIP2	0.049
FSIP1	0.079
NR2F6	0.163
DNAJC8	0.094
CSNK1A1	0.549
MB	0.128
GLYATL2	0.077
DNAJC5	0.144
DNAJC6	0.486
CAMSAP1	0.176
DNAJC1	0.105
DNAJC3	0.141
NOX4	0.163
CYP4F12	0.106
ZNF701	0.159
SORT1	0.837
SLC18A2	0.277
SLC18A1	0.076
GOSR1	0.477
PRPF31	0.194
RRP15	0.338
CYP4F11	0.101
RALBP1	0.109
NRN1	0.436
DEAF1	0.136
RAP1B	0.59
RAP1A	0.524
MAP3K7	0.724
ZNF831	0.065
MTNR1B	0.093
IER3IP1	0.249
OR5T2	0.158
MAP3K5	0.486
PLD2	0.307
COLEC12	0.224
MTNR1A	0.071
ZNF410	0.137
FAM91A1	0.253
RAMP2	0.427
ATOH7	0.721
ACAT1	0.32
ACAT2	0.103
ATOH1	0.757
RNF152	0.653
CD200R1	0.036
LIMD1	0.309
RNF151	0.206
TRIM9	0.227
ATOH8	0.516
IVD	0.083
CSTB	0.125
MARVELD3	0.276
CTF1	0.143
KIAA1618	0.124
PEX3	0.284
LDLR	0.33
ZNF579	0.276
TRIM8	0.396
ZPBP	0.398
OR8S1	0.042
IL2RA	0.059
ZFYVE21	0.092
ZFYVE20	0.203
ZFYVE27	0.115
TPCN1	0.179
TPCN2	0.065
RAB33B	0.124
SLC17A4	0.111
SLC17A5	0.155
TAS2R4	0.056
ZFYVE28	0.168
SLC17A1	0.049
SPAG16	0.067
SPAG17	0.115
MDH1B	0.114
C16orf58	0.085
RBMXL2	0.115
TRPV3	0.212
CDK5RAP2	0.035
C16orf53	0.171
TRPV2	0.087
C16orf57	0.079
C16orf54	0.124
C16orf55	0.065
NUDT16L1	0.266
FMO2	0.096
MYF5	0.977
MYF6	0.872
ZNF207	0.52
CCDC144B	0.021
ERC1	0.189
ERC2	0.719
CHMP4C	0.204
BAX	0.796
BAD	0.175
IARS	0.713
BHMT2	0.048
AIFM1	0.282
PRKCDBP	0.087
COBLL1	0.563
SLC37A2	0.091
SLC37A3	0.125
SLC37A1	0.085
GFI1B	0.481
PMPCB	0.193
PMPCA	0.264
TOB2	0.309
CDK10	0.154
SULF2	0.12
SULF1	0.597
GPR126	0.075
ST5	0.276
GPR124	0.27
GPR125	0.07
RBL2	0.855
GPR123	0.104
GPR120	0.341
ATP6V1B1	0.137
ATP6V1B2	0.835
BIN2	0.07
NOS1AP	0.323
PIP5KL1	0.071
GPR128	0.045
CTSD	0.753
ZNF304	0.124
BFSP2	0.274
ZNF302	0.206
ZNF300	0.235
P2RY8	0.071
KCNAB3	0.261
STS	0.213
P2RY2	0.112
SEC61G	0.173
MMP27	0.086
EVX2	0.317
SEC61B	0.081
MTERFD2	0.089
MTERFD1	0.357
P2RY5	0.175
SETD8	0.117
TFG	0.125
ABCG4	0.163
FBXO17	0.134
CTSZ	0.08
PIH1D1	0.111
RND1	0.185
RND2	0.21
RND3	0.388
NCL	0.987
CTNNBIP1	0.184
PPP3CA	0.872
PPP3CB	0.684
PPP3CC	0.14
SESTD1	0.243
KIAA1549	0.405
KIAA1012	0.127
PKM2	0.785
KIAA1543	0.125
LRRC41	0.146
LRRC40	0.373
LRRC43	0.047
LRRC42	0.088
LRRC45	0.162
