Chrom	Start	End	Strand	Func_num	Threep_usage	Fivep_usage
chr14	61285440	61285565	+	0	0.991304347826	0.996515679443
chr14	50649181	50649324	-	0	1.0	1.0
chr2	152663335	152663486	-	0	1.0	1.0
chr10	67332693	67332814	+	0	0.875	0.875
chr1	31447498	31447649	-	0	1.0	1.0
chr19	7682212	7682324	+	0	1.0	1.0
chr2	173431584	173431661	+	0	0.990595611285	0.993023255814
chr11	108002634	108002681	+	0	1.0	1.0
chr12	49460402	49460484	-	0	1.0	1.0
chr15	75219107	75219228	-	0	0.992490613267	0.992217898833
chr17	80678637	80678717	+	0	0.0238095238095	0.0120481927711
chr16	56530879	56530991	-	0	1.0	1.0
chr17	40174417	40174658	+	0	0.981366459627	0.928104575163
chr11	65116321	65116402	+	0	1.0	1.0
chr6	31117843	31117992	-	0	0.968	0.968253968254
chr8	27455977	27456152	-	0	1.0	1.0
chr12	57920094	57920171	+	0	1.0	1.0
chr6	31912504	31912630	+	0	0.998498498498	0.997026022305
chr19	19216370	19216536	+	0	1.0	1.0
chr1	38409312	38409341	-	0	0.951219512195	0.955555555556
chr9	99735135	99735230	-	0	0.918032786885	0.96062992126
chr8	16955967	16956062	+	0	1.0	1.0
chr9	140322485	140322593	+	0	1.0	1.0
chr1	19199298	19199451	-	0	1.0	1.0
chrX	74516177	74516246	+	0	0.95652173913	0.928571428571
chr1	113464612	113464755	-	0	0.998820754717	0.998968008256
chr3	125869249	125869799	-	0	0.08	1.0
chr6	106992663	106992808	+	0	0.95652173913	0.966666666667
chr1	32119468	32119644	-	0	1.0	1.0
chr2	232576058	232576693	+	0	0.998648648649	0.996887966805
chr1	206631969	206632293	+	0	1.0	1.0
chr9	125620948	125621381	-	0	1.0	1.0
chr6	13642711	13642823	-	0	1.0	1.0
chr16	2167490	2167673	-	0	1.0	1.0
chr11	57457807	57457909	+	0	0.971590909091	0.96835443038
chr1	19445366	19445451	-	0	1.0	1.0
chr2	61412637	61413632	+	0	0.99746835443	1.0
chr17	46154227	46154403	-	0	0.983870967742	0.981481481481
chr12	57004193	57004323	-	0	0.0277777777778	1.0
chr22	38883884	38884120	-	0	1.0	0.566345441067
chr1	40726511	40726657	+	0	1.0	1.0
chr6	111527795	111527938	+	0	1.0	1.0
chr16	67572893	67572971	+	0	1.0	1.0
chr22	31484685	31484763	+	0	1.0	1.0
chr1	154561027	154561149	-	0	1.0	1.0
chr22	30413916	30414061	+	0	1.0	1.0
chr3	33867972	33868072	+	0	1.0	1.0
chr15	72502688	72502819	-	0	1.0	1.0
chr16	68336284	68336412	-	0	0.118644067797	1.0
chr11	16816035	16816261	-	0	1.0	1.0
chr12	3040203	3040406	+	0	1.0	1.0
chr11	71171087	71171259	+	0	0.0322580645161	0.00277008310249
chr4	128743924	128744049	+	0	1.0	1.0
chr1	151108487	151108639	-	0	1.0	1.0
chr3	186334973	186335139	+	1	0.00182350795873	0.999650858307
chr9	95061166	95061236	-	0	1.0	1.0
chr3	186505592	186505671	+	0	1.0	1.0
chr2	86997146	86997248	+	0	1.0	1.0
chr1	155753777	155753880	-	0	0.958333333333	0.966666666667
chr11	244041	244469	+	0	0.894230769231	1.0
chr12	56993748	56993880	-	0	1.0	1.0
chr10	95443813	95443855	-	0	0.916666666667	0.857142857143
chr4	78815293	78815404	+	0	1.0	1.0
chr2	200804812	200804856	-	0	1.0	1.0
chr19	36611612	36611708	+	0	1.0	1.0
chr17	62594500	62594608	-	0	1.0	1.0
chr16	67197922	67198047	+	0	1.0	1.0
chr15	43478018	43478431	+	0	0.981366459627	0.925714285714
chr22	26906030	26906247	-	0	1.0	1.0
chr10	94659356	94659401	+	0	1.0	1.0
chr5	68728354	68728502	+	0	1.0	1.0
chr19	11512891	11512923	-	0	0.8	0.8
chr14	53175201	53175240	+	0	1.0	0.992592592593
chr1	45363027	45363116	-	0	0.987179487179	0.983606557377
chr16	31503518	31503661	-	0	1.0	1.0
chrX	153284426	153284529	-	0	1.0	1.0
chr12	49166291	49166326	-	0	1.0	1.0
chr9	132620746	132620877	+	0	1.0	1.0
chr3	129308194	129308370	-	0	1.0	1.0
chr5	72178294	72178354	+	0	1.0	1.0
chr2	27465740	27465841	+	0	1.0	1.0
chr16	28123138	28123327	-	0	0.969696969697	0.977596741344
chr16	113585	113798	-	0	1.0	1.0
chrX	30738969	30739112	+	0	1.0	1.0
chr14	103174802	103174920	+	0	1.0	1.0
chr2	71645732	71645769	+	0	1.0	1.0
chr19	5788368	5788409	-	0	0.9625	0.963855421687
chr15	40329187	40329219	-	0	1.0	1.0
chr9	127083738	127083848	+	0	0.99711815562	0.997687861272
chr10	121674242	121674331	+	0	1.0	1.0
chr17	9448489	9448599	-	0	0.965909090909	0.970297029703
chr9	131831355	131831408	+	0	1.0	1.0
chr12	50041486	50041587	-	0	1.0	1.0
chr1	244855181	244855322	+	0	0.923076923077	1.0
chr6	53385576	53385758	-	0	1.0	1.0
chr14	55493429	55493521	-	0	0.909090909091	0.846153846154
chr12	95897841	95897937	+	0	1.0	1.0
chr7	80299269	80300480	+	0	1.0	1.0
chr20	32336729	32336878	+	0	1.0	1.0
chr8	110566958	110567116	+	0	1.0	1.0
chrX	100354798	100355054	+	0	0.777777777778	0.142857142857
chr12	113714724	113714840	+	0	1.0	1.0
chr3	51993245	51993308	-	0	1.0	1.0
chr3	37876170	37876258	-	0	0.913043478261	0.931034482759
chr12	62982636	62982696	+	0	0.0111111111111	0.0111111111111
chr14	99866436	99866596	-	0	1.0	1.0
chr3	112715739	112715838	+	0	1.0	1.0
chr19	50910584	50910672	+	0	1.0	1.0
chr11	11941889	11942041	+	0	1.0	1.0
chr12	10366673	10366786	+	0	0.0105263157895	0.0208333333333
chr20	402771	402882	+	0	1.0	1.0
chr2	236706403	236706530	+	0	1.0	1.0
chrY	21751413	21751498	+	0	0.0384615384615	1.0
chr3	122170381	122170480	-	0	1.0	1.0
chr2	202248834	202248939	-	0	1.0	1.0
chr15	86311248	86313051	-	0	0.666666666667	0.916666666667
chr16	68381534	68381581	+	0	0.739726027397	0.744966442953
chr10	99498234	99498431	+	0	0.84	0.90756302521
chr2	96920571	96920735	-	0	1.0	1.0
chr7	6634066	6634231	+	0	1.0	1.0
chr8	25297122	25297308	-	0	0.265625	1.0
chr22	35683340	35683445	+	0	1.0	1.0
chr8	87540764	87540905	+	0	1.0	1.0
chr6	88218759	88218893	+	0	1.0	1.0
chr19	49507534	49507675	+	0	0.968253968254	1.0
chr20	44099029	44099172	+	0	1.0	1.0
chr2	128735559	128735663	-	0	0.557522123894	0.52380952381
chr12	57594817	57594936	+	0	1.0	1.0
chr19	7703612	7703661	+	0	0.9	0.931818181818
chr9	3248032	3248185	-	0	1.0	1.0
chr5	14474103	14474206	+	0	1.0	1.0
chr17	3475416	3475543	-	0	1.0	1.0
chr11	19186599	19186692	+	0	1.0	1.0
chr8	56698278	56698450	+	0	1.0	1.0
chr16	28607104	28607286	-	0	0.00735294117647	0.804772234273
chr11	120906442	120906653	+	0	0.111111111111	0.1
chr2	32145867	32145979	-	0	0.983425414365	0.983193277311
chrX	38150212	38150277	-	0	1.0	1.0
chr4	6610834	6611025	+	0	1.0	1.0
chr12	57556641	57556766	+	0	1.0	1.0
chr4	877825	877874	-	0	1.0	1.0
chr7	66262361	66262493	+	0	1.0	1.0
chr8	141569494	141569628	-	0	1.0	1.0
chr12	93864262	93864281	+	0	0.00228832951945	0.00114547537228
chr6	53380907	53381020	-	0	0.988095238095	1.0
chr2	70443340	70443424	-	0	0.996323529412	0.997120921305
chr1	1425943	1426051	+	0	1.0	1.0
chr3	124592293	124592378	-	0	1.0	1.0
chr20	34057715	34057811	+	0	1.0	1.0
chr7	111970139	111970271	+	0	1.0	1.0
chr4	57244314	57244630	-	0	1.0	1.0
chr15	52556387	52556493	-	0	1.0	1.0
chr14	31358349	31358461	-	0	1.0	1.0
chr17	79084714	79084755	+	0	0.244680851064	0.0380952380952
chr12	27070577	27070666	-	0	1.0	1.0
chr7	105662644	105662894	+	0	0.6	0.833333333333
chr14	93142820	93142951	+	0	1.0	1.0
chr4	10080515	10080625	-	0	1.0	1.0
chr3	127387984	127388045	+	0	1.0	1.0
chr1	63128696	63128801	-	0	1.0	1.0
chr19	14168163	14168243	-	0	0.5	0.5
chr10	64979638	64979743	-	0	0.357142857143	0.470588235294
chr12	54108984	54109109	-	0	1.0	1.0
chr11	19187849	19192115	+	0	1.0	1.0
chr16	15719229	15719654	-	0	0.358024691358	0.972222222222
chr10	70156537	70156638	-	0	0.911764705882	0.9
chr2	55054703	55054888	+	0	1.0	1.0
chr9	127781078	127781230	-	0	1.0	1.0
chr22	51016204	51016363	-	0	1.0	1.0
chr1	60381610	60381772	-	0	1.0	1.0
chr1	21219112	21219222	-	0	0.201754385965	0.107843137255
chr3	8953996	8954056	-	0	1.0	1.0
chrX	43637929	43637986	-	0	1.0	1.0
chr3	122255015	122255189	-	0	1.0	1.0
chr1	23405459	23405670	+	0	0.00237247924081	1.0
chr11	95595156	95595266	-	0	1.0	1.0
chr18	13052918	13053089	+	0	1.0	1.0
chr1	32158075	32158110	-	0	1.0	1.0
chr18	12337340	12337534	-	0	1.0	1.0
chr22	19868145	19868240	-	0	1.0	1.0
chr5	1320731	1320846	-	0	1.0	1.0
chr6	42936612	42936723	-	0	0.939393939394	0.925925925926
chr12	123106428	123106517	+	0	1.0	1.0
chr3	78708836	78708957	-	0	1.0	1.0
chr3	185823613	185823731	-	0	1.0	1.0
chr4	184190915	184191003	+	0	0.0294117647059	0.00302114803625
chr10	104495619	104495666	+	0	1.0	1.0
chr1	54413461	54413494	+	0	0.3	0.483606557377
chr3	195706615	195706737	-	0	1.0	1.0
chr2	672808	672862	-	0	1.0	1.0
chr4	15686509	15686582	+	0	0.0106382978723	0.166666666667
chr11	43425548	43425694	+	0	1.0	1.0
chr5	157162854	157162942	+	0	1.0	1.0
chrX	51640304	51640367	+	0	1.0	1.0
chr8	141679826	141679834	-	0	0.0440251572327	0.0578512396694
chr1	17312958	17313127	-	0	0.972972972973	0.958333333333
chr15	57836671	57836795	+	0	1.0	1.0
chr19	6362457	6362553	+	0	1.0	1.0
chr3	52838742	52838750	+	0	0.980946123522	0.985264227642
chr14	68249497	68250242	-	0	1.0	1.0
chr2	97784081	97784254	+	0	1.0	1.0
chr12	8196547	8196687	+	0	1.0	1.0
chr20	45004307	45004429	-	0	1.0	1.0
chr3	142742817	142742860	+	0	0.975975975976	0.975535168196
chr3	15071782	15071959	+	0	1.0	1.0
chr14	102551635	102551768	-	0	1.0	1.0
chr2	84676773	84676876	-	0	1.0	1.0
chr3	48491443	48491576	+	0	1.0	1.0
chr14	21859622	21859801	-	0	0.98	0.987012987013
chr15	40331077	40331149	-	0	1.0	1.0
chr5	112200318	112200429	+	2	1.0	1.0
chr3	47888922	47889026	+	0	1.0	1.0
chr15	29213843	29213952	+	0	1.0	0.375
chr17	46051766	46051814	+	0	1.0	1.0
chr12	82870423	82870497	+	0	1.0	1.0
chr14	31626371	31626509	-	0	1.0	1.0
chr2	48701822	48701958	+	0	0.97619047619	0.988372093023
chr11	6519001	6520191	+	0	0.95652173913	1.0
chr15	42054327	42054560	+	0	1.0	1.0
chr13	47358387	47358485	-	0	0.995085995086	0.997496871089
chr17	61907212	61907309	+	1	1.0	1.0
chr7	105195475	105195674	+	0	1.0	1.0
chr6	31838380	31838479	-	0	0.909090909091	0.941176470588
chr1	94964339	94964404	+	0	1.0	1.0
chr6	30460181	30460213	+	0	1.0	1.0
chr15	41348820	41348904	-	0	0.966666666667	0.933333333333
chr12	50847243	50847455	+	0	0.973684210526	0.97520661157
chr2	128890715	128890834	+	0	1.0	1.0
chr4	25803905	25804084	-	0	1.0	1.0
chr20	3781618	3781740	+	0	1.0	1.0
chr1	44057483	44057619	+	0	0.997737556561	0.998500749625
chr3	113388968	113389050	-	0	1.0	1.0
chr16	72166632	72166890	-	0	1.0	0.1
chr4	79420875	79421075	+	0	1.0	1.0
chr6	71569032	71569119	+	0	0.00540540540541	0.0160427807487
chr19	46124465	46124590	-	0	1.0	1.0
chr15	79177312	79177425	+	0	0.00559701492537	0.0493601462523
chr1	38040266	38040424	-	0	1.0	1.0
chr19	50880844	50880905	+	0	1.0	1.0
chr12	1038930	1039310	-	0	1.0	0.142857142857
chr14	24663881	24664257	-	0	0.037037037037	0.993610223642
chrX	41202469	41202604	+	1	0.992424242424	0.989847715736
chr17	20209336	20209395	+	0	0.777777777778	0.875
chr9	130430359	130430466	+	0	1.0	1.0
chr11	32118690	32118883	+	0	0.992125984252	0.994652406417
chr2	44190727	44190845	-	0	0.993442622951	0.995444191344
chr2	136513087	136513261	+	0	1.0	1.0
chr14	89319315	89319400	+	0	1.0	1.0
chr2	176856959	176857146	-	0	1.0	1.0
chr1	161013058	161013150	-	0	1.0	1.0
chr3	49149344	49149481	-	0	1.0	1.0
chr6	83806644	83806834	+	0	1.0	1.0
chr7	116774178	116774246	+	0	0.292307692308	0.269841269841
chr1	27587447	27587593	+	0	1.0	1.0
chrX	153736805	153736928	-	0	0.986486486486	1.0
chr5	149755986	149756183	+	0	1.0	1.0
chr16	29841836	29841957	+	0	0.847826086957	0.0040404040404
chr22	40859225	40859290	-	0	1.0	1.0
chr7	127975597	127975733	-	0	1.0	1.0
chr1	17990942	17991090	+	0	0.981366459627	0.986175115207
chr17	6014091	6014255	+	0	1.0	1.0
chr17	40270315	40270421	-	0	1.0	1.0
chr8	20061995	20062050	+	0	1.0	1.0
chr1	31791014	31791083	+	0	0.126315789474	0.0119047619048
chr11	67120162	67120273	-	0	0.996282527881	0.997549019608
chr17	63531744	63531839	-	0	0.992307692308	0.995260663507
chr15	63541844	63541904	+	0	1.0	1.0
chr12	110426768	110426873	-	0	0.989361702128	0.984848484848
chr15	74708916	74709055	-	0	1.0	1.0
chr9	134039448	134039531	+	0	1.0	1.0
chr6	25914808	25914898	-	0	0.972826086957	0.896174863388
chrX	70516701	70516897	+	0	1.0	1.0
chr6	36449339	36449536	+	0	1.0	1.0
chr10	104135116	104135341	+	0	1.0	1.0
chr15	50885814	50885946	-	0	1.0	1.0
chr9	116172508	116172688	-	0	1.0	1.0
chr10	13175502	13175581	+	0	0.991891891892	0.992385786802
chr12	48063890	48064128	-	0	1.0	1.0
chr17	21147419	21147537	-	0	1.0	1.0
chr1	39994727	39994836	-	0	1.0	1.0
chr5	131719839	131719993	+	0	1.0	1.0
chr12	114400037	114400219	-	0	1.0	1.0
chr11	73950178	73950301	+	0	1.0	1.0
chr15	81650677	81650844	+	0	1.0	1.0
chr12	56749227	56749316	-	0	1.0	1.0
chr3	100067647	100067725	+	0	1.0	1.0
chr2	167108275	167108395	-	0	1.0	1.0
chr1	146739085	146739177	+	0	1.0	1.0
chr7	75055644	75055735	-	0	1.0	1.0
chr10	75302561	75302643	-	0	1.0	1.0
chr10	120094908	120094938	-	0	1.0	1.0
chr11	65823006	65823056	+	0	0.855227882038	1.0
chr16	786266	786398	-	0	0.932203389831	0.977900552486
chr12	42839793	42840092	+	0	0.444444444444	1.0
chr8	74890991	74891110	+	0	1.0	0.00877192982456
chr12	56743881	56743974	-	0	0.99358974359	0.994845360825
chr15	66612909	66613070	+	0	1.0	1.0
chr10	116227940	116227975	-	0	0.996815286624	0.996336996337
chr2	27715533	27715657	-	0	0.680473372781	0.617021276596
chr1	10596270	10596354	+	0	1.0	1.0
chr15	67956935	67956983	+	0	1.0	1.0
chr15	89834844	89834945	+	0	1.0	1.0
chr8	19706673	19706750	+	0	0.0198412698413	0.05
chr20	31598830	31598923	+	3	0.997434017595	0.995187901008
chr12	53690214	53691708	+	0	0.03264604811	0.993815708101
chr16	84094287	84094418	-	0	1.0	1.0
chr19	34687539	34687668	+	0	0.997229916898	0.996453900709
chr3	128617274	128617349	+	0	0.0144927536232	0.0144927536232
chr2	71595512	71595658	+	0	1.0	1.0
chr2	63175395	63176297	+	0	1.0	0.898678414097
chrX	41646431	41646536	-	0	0.990740740741	0.991452991453
chr3	47041120	47041205	+	0	1.0	1.0
chr12	50186229	50186371	-	0	1.0	1.0
chr17	58007719	58007793	+	1	0.0612244897959	0.0707070707071
chr17	17030016	17030167	+	0	1.0	1.0
chr15	65964130	65964224	-	0	1.0	1.0
chr2	219254593	219254751	+	0	1.0	1.0
